customer_unique_id,payment_type,total_payment_installments,total_payment_value,geolocation_lat,geolocation_lng,total_payment_sequential
0800b40b1751d9f66189ef534f22e03e,boleto,1.0,322.56,-29.8331,-50.5201,1.0
080e0a3138d223904a2ba6e522e112e1,credit_card,2.0,76.19,-30.0313,-51.2128,1.0
08114c58968d782002f7cbb2d4cdf823,credit_card,4.0,47.68,-22.633,-47.0526,1.0
08120867e4e7505f99b694ff4e64411b,credit_card,1.0,35.79,-20.6558,-43.7779,1.0
081e0e600cfd38bd7eabb583b2af18a3,credit_card,1.0,137.38,-3.8391,-38.5149,1.0
08294377d6f9c63ff1ff06aa9af2be89,boleto,1.0,49.3,-20.4929,-55.8022,1.0
082b0909af2652eb18a3218321631f74,credit_card,4.0,42.62,-22.5375,-44.1685,1.0
08337fcb5700148106985b58c73e48fe,credit_card,2.0,162.66,-22.8573,-43.2636,1.0
083392a297a1f96c08af1cab009a9b7a,credit_card,3.0,153.33,-22.9228,-43.2461,1.0
0839b9b0df573d1b402fe8906659303a,credit_card,1.0,58.28,-23.1855,-45.8716,1.0
08417644f62cb87c2b413b49eb2e052e,credit_card,10.0,310.01,-20.3314,-47.7894,1.0
0848b22e9aa5bd18c4eb1d985da46f75,credit_card,1.0,129.86,-19.6842,-44.8918,1.0
084eda32e5a95a9a5977273dab99ca9f,credit_card,2.0,128.24,-22.8267,-43.3225,1.0
086117652ef8e4a70c08f770edf45bd1,credit_card,1.0,43.94,-23.6743,-46.6842,1.0
086c23cd71cfaf4b2e41b18dd4f088c3,credit_card,1.0,61.79,-22.9907,-43.6305,1.0
0870f2f5c8c0c6e1a4335c5de3a4a552,credit_card,1.0,41.96,-22.8833,-43.0923,1.0
0878db79126c2f458ff812144792b696,boleto,1.0,54.38,-23.5327,-46.55,1.0
0880913b39e936f30515d7f65f0a8f34,boleto,1.0,130.45,-22.8787,-42.0447,1.0
0881442e3b9a9a2e65938b30e0598eb0,boleto,1.0,158.74,-22.7315,-45.1088,1.0
08866945ffb898dc38546a5322439203,boleto,1.0,198.57,-9.9113,-36.3563,1.0
08956f78b05a629117296cd7fea74142,credit_card,5.0,55.1,-23.5341,-46.6786,1.0
08995ff3d56d1423655c3b21cebe06bd,credit_card,2.0,143.67,-14.2055,-41.6711,1.0
08a26f73b94297d13b59e2e7d1e3f5e7,credit_card,2.0,116.84,-12.8838,-38.3137,1.0
08a8e6e7993db052baf012f977f0f0d5,boleto,1.0,37.73,-27.6564,-48.6658,1.0
08c07c761592a71b85136aa4fe76a6f4,credit_card,2.0,190.89,-11.4109,-39.4628,1.0
08c563a0e00983d634746efc2cd9fad6,credit_card,3.0,222.38,-23.6893,-46.6791,1.0
08d1825b8f6d330d3ef8073ec9b3978f,credit_card,10.0,142.27,-3.1155,-59.9969,1.0
08dcc3c495afe4738a4562c5a1bb0fbb,credit_card,2.0,168.2,-23.66,-46.4415,1.0
08e196b17b4c622560db468411547e92,credit_card,10.0,130.85,-28.2526,-54.0135,1.0
08f202bd26e057d0e623282aa3eaa73c,credit_card,1.0,67.68,-23.5715,-46.648,1.0
08f3e0a1f08184e1723e4d3597caddfb,boleto,1.0,83.23,-19.9342,-44.014,1.0
08f7cf00ed9ff3e0a08fc136ec272974,credit_card,1.0,215.84,-15.8324,-48.0375,1.0
08f93b424b4ab0d1483bc10268065571,credit_card,1.0,70.98,-30.0101,-51.1663,1.0
08fd77878700d65686c99b27213f5b61,credit_card,2.0,182.79,-25.5445,-49.361,1.0
0909c8582df282c1aaea66bd9dc80fd0,boleto,1.0,29.02,-25.6599,-49.2996,1.0
09252bc15c7c9e9b2538343227d15826,boleto,1.0,90.88,-23.013,-43.4655,1.0
0927b263987388dc45d858496bd42a60,credit_card,1.0,77.89,-19.458,-44.2481,1.0
092c78e2c83099d7bdc8f0fccf3654b2,credit_card,2.0,144.61,-25.1471,-53.8501,1.0
0931121d09abd3191ffd255d843b8fa0,credit_card,1.0,72.98,-20.9055,-51.3816,1.0
09319cf17ae35ad6d3d24ceb287381b6,credit_card,3.0,119.25,-23.5693,-46.6186,1.0
09583d4ff762fa1959167ec6ceffe5d1,credit_card,10.0,336.9,-1.3576,-48.4386,1.0
09591f2566b9aa31baed0f7ac04ca00e,boleto,1.0,56.86,-28.3878,-53.9159,1.0
